typeID,groupID,typeName,typeID
823,135,280mm Howitzer Artillery I Blueprint,823
824,135,Dual 180mm AutoCannon I Blueprint,824
825,135,220mm Vulcan AutoCannon I Blueprint,825
826,135,425mm AutoCannon I Blueprint,826
827,135,650mm Artillery Cannon I Blueprint,827
828,135,720mm Howitzer Artillery I Blueprint,828
829,135,Dual 425mm AutoCannon I Blueprint,829
830,135,Dual 650mm Repeating Cannon I Blueprint,830
831,135,800mm Repeating Cannon I Blueprint,831
832,135,1200mm Artillery Cannon I Blueprint,832
833,135,1400mm Howitzer Artillery I Blueprint,833
834,133,Gatling Pulse Laser I Blueprint,834
835,133,Dual Light Pulse Laser I Blueprint,835
836,133,Dual Light Beam Laser I Blueprint,836
837,133,Small Focused Pulse Laser I Blueprint,837
838,133,Small Focused Beam Laser I Blueprint,838
839,133,Quad Light Beam Laser I Blueprint,839
840,133,Focused Medium Pulse Laser I Blueprint,840
841,133,Focused Medium Beam Laser I Blueprint,841
842,133,Heavy Pulse Laser I Blueprint,842
843,133,Heavy Beam Laser I Blueprint,843
844,133,Dual Heavy Pulse Laser I Blueprint,844
845,133,Dual Heavy Beam Laser I Blueprint,845
846,133,Mega Pulse Laser I Blueprint,846
847,133,Mega Beam Laser I Blueprint,847
848,133,Tachyon Beam Laser I Blueprint,848
879,165,Carbonized Lead S Blueprint,879
880,165,Nuclear S Blueprint,880
881,165,Proton S Blueprint,881
882,165,Depleted Uranium S Blueprint,882
883,165,Titanium Sabot S Blueprint,883
884,165,Fusion S Blueprint,884
885,165,Phased Plasma S Blueprint,885
886,165,EMP S Blueprint,886
887,165,Carbonized Lead M Blueprint,887
888,165,Nuclear M Blueprint,888
889,165,Proton M Blueprint,889
890,165,Depleted Uranium M Blueprint,890
891,165,Titanium Sabot M Blueprint,891
892,165,Fusion M Blueprint,892
893,165,Phased Plasma M Blueprint,893
894,165,EMP M Blueprint,894
895,165,Carbonized Lead L Blueprint,895
896,165,Nuclear L Blueprint,896
897,165,Proton L Blueprint,897
898,165,Depleted Uranium L Blueprint,898
899,165,Titanium Sabot L Blueprint,899
900,165,Fusion L Blueprint,900
901,165,Phased Plasma L Blueprint,901
902,165,EMP L Blueprint,902
935,105,Reaper Blueprint,935
936,105,Executioner Blueprint,936
937,105,Inquisitor Blueprint,937
938,105,Tormentor Blueprint,938
939,105,Navitas Blueprint,939
940,105,Tristan Blueprint,940
941,105,Incursus Blueprint,941
943,105,Impairor Blueprint,943
944,105,Punisher Blueprint,944
945,105,Breacher Blueprint,945
946,105,Burst Blueprint,946
947,105,Minmatar Peacekeeper Ship Blueprint,947
948,105,Ibis Blueprint,948
949,105,Kestrel Blueprint,949
950,105,Merlin Blueprint,950
952,105,Heron Blueprint,952
953,105,Velator Blueprint,953
954,105,Imicus Blueprint,954
955,105,Atron Blueprint,955
956,105,Maulus Blueprint,956
960,105,Devourer Blueprint,960
961,105,Fury Blueprint,961
962,105,Immolator Blueprint,962
963,105,Medusa Blueprint,963
964,105,Echo Blueprint,964
965,105,Lynx Blueprint,965
966,105,Swordspine Blueprint,966
967,111,Caldari Shuttle Blueprint,967
968,106,Moa Blueprint,968
969,106,Maller Blueprint,969
970,106,Augoror Blueprint,970
971,106,Vexor Blueprint,971
972,106,Thorax Blueprint,972
973,106,Arbitrator Blueprint,973
974,106,Rupture Blueprint,974
975,106,Bellicose Blueprint,975
976,106,Scythe Blueprint,976
977,106,Blackbird Blueprint,977
978,106,Celestis Blueprint,978
979,106,Exequror Blueprint,979
983,108,Badger Blueprint,983
984,108,Tayra Blueprint,984
985,108,Nereus Blueprint,985
986,108,Hoarder Blueprint,986
987,108,Mammoth Blueprint,987
988,108,Wreathe Blueprint,988
989,108,Kryos Blueprint,989
990,108,Epithal Blueprint,990
991,108,Miasmos Blueprint,991
992,108,Iteron Mark V Blueprint,992
994,107,Scorpion Blueprint,994
995,107,Megathron Blueprint,995
996,107,Apocalypse Blueprint,996
997,107,Armageddon Blueprint,997
998,107,Typhoon Blueprint,998
999,107,Dominix Blueprint,999
1002,110,Erebus Blueprint,1002
1010,118,Small Shield Extender I Blueprint,1010
1013,118,Small Shield Extender II Blueprint,1013
1026,119,Shield Recharger I Blueprint,1026
1027,119,Shield Recharger II Blueprint,1027
1032,120,Small Shield Booster I Blueprint,1032
1033,120,Small Shield Booster II Blueprint,1033
1067,126,5MN Microwarpdrive I Blueprint,1067
1071,126,1MN Afterburner II Blueprint,1071
1072,126,1MN Afterburner I Blueprint,1072
1073,126,5MN Microwarpdrive II Blueprint,1073
1074,127,Cargo Scanner I Blueprint,1074
1075,128,Ship Scanner I Blueprint,1075
1076,129,Survey Scanner I Blueprint,1076
1079,132,Warp Scrambler I Blueprint,1079
1080,132,Warp Scrambler II Blueprint,1080
1095,139,Gyrostabilizer II Blueprint,1095
1096,139,Gyrostabilizer I Blueprint,1096
1099,142,Small Armor Repairer I Blueprint,1099
1100,143,Small Hull Repairer I Blueprint,1100
1102,145,Stasis Webifier I Blueprint,1102
1103,145,Stasis Webifier II Blueprint,1103
1105,147,Small Remote Capacitor Transmitter I Blueprint,1105
1106,148,Small Energy Nosferatu I Blueprint,1106
1109,151,Small Energy Neutralizer I Blueprint,1109
1112,154,75mm Gatling Rail I Blueprint,1112
1113,154,Light Electron Blaster I Blueprint,1113
1114,154,Light Ion Blaster I Blueprint,1114
1115,154,Light Neutron Blaster I Blueprint,1115
1116,154,150mm Railgun I Blueprint,1116
1117,154,Heavy Electron Blaster I Blueprint,1117
1118,154,Dual 150mm Railgun I Blueprint,1118
1119,154,Heavy Neutron Blaster I Blueprint,1119
1120,154,Heavy Ion Blaster I Blueprint,1120
1121,154,250mm Railgun I Blueprint,1121
1122,154,Electron Blaster Cannon I Blueprint,1122
1123,154,Dual 250mm Railgun I Blueprint,1123
1124,154,Neutron Blaster Cannon I Blueprint,1124
1125,154,425mm Railgun I Blueprint,1125
1126,154,Ion Blaster Cannon I Blueprint,1126
1128,156,Medium Capacitor Booster I Blueprint,1128
1129,157,Multispectrum Shield Hardener I Blueprint,1129
1130,167,Iron Charge S Blueprint,1130
1131,167,Tungsten Charge S Blueprint,1131
1132,167,Iridium Charge S Blueprint,1132
1133,167,Lead Charge S Blueprint,1133
1134,167,Thorium Charge S Blueprint,1134
1135,167,Uranium Charge S Blueprint,1135
1136,167,Plutonium Charge S Blueprint,1136
1137,167,Antimatter Charge S Blueprint,1137
1138,167,Iron Charge M Blueprint,1138
1139,167,Tungsten Charge M Blueprint,1139
1140,167,Iridium Charge M Blueprint,1140
1141,167,Lead Charge M Blueprint,1141
1142,167,Thorium Charge M Blueprint,1142
1143,167,Uranium Charge M Blueprint,1143
1144,167,Plutonium Charge M Blueprint,1144
1145,167,Antimatter Charge M Blueprint,1145
1146,167,Iron Charge L Blueprint,1146
1147,167,Tungsten Charge L Blueprint,1147
1148,167,Iridium Charge L Blueprint,1148
1149,167,Lead Charge L Blueprint,1149
1150,167,Thorium Charge L Blueprint,1150
1151,167,Uranium Charge L Blueprint,1151
1152,167,Plutonium Charge L Blueprint,1152
1153,167,Antimatter Charge L Blueprint,1153
1154,168,Radio S Blueprint,1154
1155,168,Microwave S Blueprint,1155
1156,168,Infrared S Blueprint,1156
1157,168,Standard S Blueprint,1157
1158,168,Ultraviolet S Blueprint,1158
1159,168,Xray S Blueprint,1159
1160,168,Gamma S Blueprint,1160
1161,168,Multifrequency S Blueprint,1161
1162,168,Radio M Blueprint,1162
1163,168,Microwave M Blueprint,1163
1164,168,Infrared M Blueprint,1164
1165,168,Standard M Blueprint,1165
1166,168,Ultraviolet M Blueprint,1166
1167,168,Xray M Blueprint,1167
1168,168,Gamma M Blueprint,1168
1169,168,Multifrequency M Blueprint,1169
1170,168,Radio L Blueprint,1170
1171,168,Microwave L Blueprint,1171
1172,168,Infrared L Blueprint,1172
1173,168,Standard L Blueprint,1173
1174,168,Ultraviolet L Blueprint,1174
1175,168,Xray L Blueprint,1175
1176,168,Gamma L Blueprint,1176
1177,168,Multifrequency L Blueprint,1177
1178,169,Cap Booster 25 Blueprint,1178
1179,169,Cap Booster 50 Blueprint,1179
1182,96,Auto Targeting System I,1182
1183,62,Small Armor Repairer II,1183
1184,142,Small Armor Repairer II Blueprint,1184
1185,61,Small Cap Battery I,1185
1186,141,Small Cap Battery I Blueprint,1186
1190,67,Small Remote Capacitor Transmitter II,1190
1191,147,Small Remote Capacitor Transmitter II Blueprint,1191
1192,764,'Basic' Overdrive Injector System,1192
1193,98,'Basic' EM Coating,1193
1194,99,Amarr Sentry Gun,1194
1195,43,Cap Recharger I,1195
1196,123,Cap Recharger I Blueprint,1196
1197,98,EM Coating I,1197
1198,98,EM Coating II,1198
1201,100,Wasp I,1201
1202,101,Civilian Mining Drone,1202
1204,163,EM Coating I Blueprint,1204
1205,163,EM Coating II Blueprint,1205
1208,162,Auto Targeting System I Blueprint,1208
1210,160,Burst Jammer I Blueprint,1210
1212,161,Passive Targeter I Blueprint,1212
1214,176,Wasp I Blueprint,1214
1216,166,Mjolnir Auto-Targeting Light Missile I Blueprint,1216
1217,174,Python Mine Blueprint,1217
1218,177,Civilian Mining Drone Blueprint,1218
1220,166,Scourge Rocket Blueprint,1220
1221,166,Scourge Torpedo Blueprint,1221
1223,451,Bistot,1223
1224,459,Pyroxeres,1224
1225,452,Crokite,1225
1226,456,Jaspet,1226
1227,469,Omber,1227
1228,460,Scordite,1228
1229,467,Gneiss,1229
1230,462,Veldspar,1230
1231,455,Hemorphite,1231
1232,453,Dark Ochre,1232
1233,237,Polaris Enigma Frigate,1233
1236,764,Overdrive Injector System II,1236
1237,158,Overdrive Injector System II Blueprint,1237
1240,78,'Basic' Reinforced Bulkheads,1240
1242,763,'Basic' Nanofiber Internal Structure,1242
1244,764,Overdrive Injector System I,1244
1245,158,Overdrive Injector System I Blueprint,1245
1246,768,Capacitor Flux Coil I,1246
1247,137,Capacitor Flux Coil I Blueprint,1247
1248,768,Capacitor Flux Coil II,1248
1249,137,Capacitor Flux Coil II Blueprint,1249
1254,770,Shield Flux Coil I,1254
1255,137,Shield Flux Coil I Blueprint,1255
1256,770,Shield Flux Coil II,1256
1257,137,Shield Flux Coil II Blueprint,1257
1262,98,'Basic' Explosive Coating,1262
1264,98,Explosive Coating I,1264
1265,163,Explosive Coating I Blueprint,1265
1266,98,Explosive Coating II,1266
1267,163,Explosive Coating II Blueprint,1267
1272,98,'Basic' Layered Coating,1272
1274,98,Layered Coating I,1274
1275,163,Layered Coating I Blueprint,1275
1276,98,Layered Coating II,1276
1277,163,Layered Coating II Blueprint,1277
1282,98,'Basic' Kinetic Coating,1282
1284,98,Kinetic Coating I,1284
1285,163,Kinetic Coating I Blueprint,1285
1286,98,Kinetic Coating II,1286
1287,163,Kinetic Coating II Blueprint,1287
1292,98,'Basic' Thermal Coating,1292
1294,98,Thermal Coating I,1294
1295,163,Thermal Coating I Blueprint,1295
1296,98,Thermal Coating II,1296
1297,163,Thermal Coating II Blueprint,1297
1302,98,'Basic' Multispectrum Coating,1302
1304,98,Multispectrum Coating I,1304
1305,163,Multispectrum Coating I Blueprint,1305
1306,98,Multispectrum Coating II,1306
1307,163,Multispectrum Coating II Blueprint,1307
1315,765,'Basic' Expanded Cargohold,1315
1317,765,Expanded Cargohold I,1317
1318,158,Expanded Cargohold I Blueprint,1318
1319,765,Expanded Cargohold II,1319
1320,158,Expanded Cargohold II Blueprint,1320
1333,78,Reinforced Bulkheads I,1333
1334,158,Reinforced Bulkheads I Blueprint,1334
1335,78,Reinforced Bulkheads II,1335
1336,158,Reinforced Bulkheads II Blueprint,1336
1351,769,'Basic' Reactor Control Unit,1351
1353,769,Reactor Control Unit I,1353
1354,137,Reactor Control Unit I Blueprint,1354
1355,769,Reactor Control Unit II,1355
1356,137,Reactor Control Unit II Blueprint,1356
1373,1,CharacterType,1373
1374,1,CharacterLegacy10,1374
1375,1,CharacterLegacy3,1375
1376,1,CharacterLegacy4,1376
1377,1,CharacterLegacy5,1377
1378,1,CharacterLegacy6,1378
1379,1,CharacterLegacy11,1379
1380,1,CharacterLegacy2,1380
1381,1,CharacterLegacy12,1381
1382,1,CharacterLegacy9,1382
1383,1,CharacterLegacy1,1383
1384,1,CharacterLegacy7,1384
1385,1,CharacterLegacy8,1385
1386,1,CharacterLegacy13,1386
1401,762,'Basic' Inertial Stabilizers,1401
1403,762,Inertial Stabilizers I,1403
1404,158,Inertial Stabilizers I Blueprint,1404
1405,762,Inertial Stabilizers II,1405
1406,158,Inertial Stabilizers II Blueprint,1406
1419,57,'Basic' Shield Power Relay,1419
1422,57,Shield Power Relay II,1422
1423,137,Shield Power Relay II Blueprint,1423
1436,96,Auto Targeting System II,1436
1437,162,Auto Targeting System II Blueprint,1437
1445,767,Capacitor Power Relay I,1445
1446,137,Capacitor Power Relay I Blueprint,1446
1447,767,Capacitor Power Relay II,1447
1448,137,Capacitor Power Relay II Blueprint,1448
1529,15,Caldari Administrative Station,1529
1530,15,Caldari Research Station,1530
1531,15,Caldari Trading Station,1531
1537,766,'Basic' Power Diagnostic System,1537
1539,766,Power Diagnostic System I,1539
1540,137,Power Diagnostic System I Blueprint,1540
1541,766,Power Diagnostic System II,1541
1542,137,Power Diagnostic System II Blueprint,1542
1547,72,Small Proton Smartbomb I,1547
1548,152,Small Proton Smartbomb I Blueprint,1548
1549,72,Small Proton Smartbomb II,1549
1550,152,Small Proton Smartbomb II Blueprint,1550
1551,72,Small Graviton Smartbomb I,1551
1552,152,Small Graviton Smartbomb I Blueprint,1552
1553,72,Small Graviton Smartbomb II,1553
1554,152,Small Graviton Smartbomb II Blueprint,1554
1557,72,Small Plasma Smartbomb I,1557
1558,152,Small Plasma Smartbomb I Blueprint,1558
1559,72,Small Plasma Smartbomb II,1559
1560,152,Small Plasma Smartbomb II Blueprint,1560
1563,72,Small EMP Smartbomb I,1563
1564,152,Small EMP Smartbomb I Blueprint,1564
1565,72,Small EMP Smartbomb II,1565
1566,152,Small EMP Smartbomb II Blueprint,1566
1601,190,Amarr Bonus,1601
1602,190,Ni-Kunni Bonus,1602
1603,190,Civire Bonus,1603
1604,190,Deteis Bonus,1604
1605,190,Gallente Bonus,1605
1606,190,Intaki Bonus,1606
1607,190,Sebiestor Bonus,1607
1608,190,Brutor Bonus,1608
1611,191,Computer Empathy Bonus,1611
1612,191,Ordered Mind Bonus,1612
1613,191,Standard DNA Pattern Bonus,1613
1614,191,Killer Instinct Bonus,1614
1615,191,Deft Hands Bonus,1615
1616,191,Structural Understanding Bonus,1616
1617,191,Creative Bonus,1617
1618,191,Glib Tongue Bonus,1618
1619,191,August Demeanor Bonus,1619
1620,191,Superior Motion Sense Bonus,1620
1621,191,High-G Tolerance Bonus,1621
1622,191,Vector Reckoning Bonus,1622
1623,191,Stratum Form Feel Bonus,1623
1624,191,Doctrine Ingrained Bonus,1624
1625,191,Three Dimensional Thinking Bonus,1625
1626,191,Swift Neural Grafting Bonus,1626
1627,191,Booster Immunity Bonus,1627
1628,193,Algiophobia Bonus,1628
1629,193,Barophobia Bonus,1629
1630,193,Cenophobia Bonus,1630
1631,193,Claustrophobia Bonus,1631
1632,193,Monophobia Bonus,1632
1633,193,Mysophobia Bonus,1633
1634,193,Taphephobia Bonus,1634
1635,193,Xenophobia Bonus,1635
1636,192,Mechanical Inaptitude Bonus,1636
1639,192,Weak Double-helix Bond Bonus,1639
1640,192,Short Attention Span Bonus,1640
1641,192,Wasteful Bonus,1641
1642,192,Trigger-happy Bonus,1642
1643,192,Epileptic Bonus,1643
1644,192,Strong Immunity System Bonus,1644
1650,195,Amarr Military Academy Pilot Bonus,1650
1651,195,Amarr Military Academy Gunner Bonus,1651
1652,195,Amarr Technical School Engineering Bonus,1652
1653,195,Amarr Technical School Electronics Bonus,1653
1654,195,Amarr Business School Commerce Bonus,1654
1655,195,Amarr Business School Industry Bonus,1655
1657,196,Caldari Military Academy Pilot Bonus,1657
1658,196,Caldari Military Academy Gunner Bonus,1658
1659,196,Caldari Technical School Engineering Bonus,1659
1660,196,Caldari Technical School Electronics Bonus,1660
1661,196,Caldari Business School Commerce Bonus,1661
1662,196,Caldari Business School Industry Bonus,1662
1663,197,Gallente Military Academy Pilot Bonus,1663
1664,197,Gallente Military Academy Gunner Bonus,1664
1665,197,Gallente Technical School Engineering Bonus,1665
1666,197,Gallente Technical School Electronics Bonus,1666
1667,197,Gallente Business School Commerce Bonus,1667
1668,197,Gallente Business School Industry Bonus,1668
1669,198,Minmatar Military Academy Pilot Bonus,1669
1670,198,Minmatar Military Academy Gunner Bonus,1670
1671,198,Minmatar Technical School Engineering Bonus,1671
1672,198,Minmatar Technical School Electronic Bonus,1672
1673,198,Minmatar Business School Commerce Bonus,1673
1674,198,Minmatar Business School Industry Bonus,1674
1675,199,Bounty Hunter Bonus,1675
1676,199,Scientist Bonus,1676
1677,199,Industrialist Bonus,1677
1678,199,Corporate Magnate Bonus,1678
1679,199,Covert-op Bonus,1679
1680,199,Navy Captain Bonus,1680
1798,295,'Basic' EM Shield Amplifier,1798
1800,295,'Basic' Thermal Shield Amplifier,1800
1802,295,'Basic' Kinetic Shield Amplifier,1802
1804,295,'Basic' Explosive Shield Amplifier,1804
1808,295,EM Shield Amplifier I,1808
1809,296,EM Shield Amplifier I Blueprint,1809
1810,394,Scourge Auto-Targeting Light Missile I,1810
1811,166,Scourge Auto-Targeting Light Missile I Blueprint,1811
1814,394,Nova Auto-Targeting Light Missile I,1814
